pic_id,condition,attractiveness,competence,dominance,fatherliness,femininity,motherliness,electability,office,year,voteshare2p
364_08,Fem_Wom,0.416666667,0.594444444,0.326612903,NA,0.769097222,0.592741935,0.531609195,State Representative,2008,0.464005053
378_06,Masc_Wom,0.370689655,0.533783784,0.38372093,NA,0.593869732,0.443181818,0.420454545,State Representative,2006,0.274464279
379_12,Fem_Wom,0.443089431,0.611742424,0.466666667,NA,0.770114943,0.579545455,0.503164557,State Representative,2012,0.438462973
380_06,Fem_Wom,0.459349593,0.546099291,0.397959184,NA,0.705782313,0.461538462,0.494680851,State Representative,2006,0.725535691
380_12,Fem_Wom,0.4,0.631868132,0.377192982,NA,0.72275641,0.510416667,0.56626506,State Representative,2012,0.688375771
382_12,Fem_Man,0.358490566,0.564102564,0.357142857,0.4,0.338596491,NA,0.431318681,State Representative,2012,0.435136676
384_06,Masc_Man,0.340136054,0.590909091,0.389534884,0.5,0.270833333,NA,0.413043478,State Representative,2006,0.379856586
387_12,Fem_Man,0.465517241,0.538348083,0.5,0.380681818,0.312056738,NA,0.432038835,State Representative,2012,0.470882565
388_04,Fem_Wom,0.618055556,0.613268608,0.427884615,NA,0.756272401,0.59,0.534946237,State Representative,2004,0.575729966
388_06,Fem_Wom,0.534090909,0.619318182,0.45625,NA,0.780392157,0.576530612,0.5125,State Representative,2006,0.557435155
389_06,Masc_Man,0.570621469,0.630503145,0.489795918,0.572115385,0.275362319,NA,0.526041667,State Senator,2006,0.46284306
393_04,Fem_Man,0.456666667,0.601010101,0.421568627,0.607142857,0.263157895,NA,0.491758242,State Representative,2004,0.605935156
393_12,Fem_Man,0.354700855,0.560077519,0.463636364,0.611111111,0.251488095,NA,0.461165049,State Representative,2012,0.664316535
395_06,Masc_Man,0.430894309,0.511904762,0.529411765,0.411111111,0.234432234,NA,0.439759036,State Representative,2006,0.255059361
403_06,Fem_Man,0.441176471,0.645424837,0.5,0.558035714,0.264367816,NA,0.4675,State Representative,2006,0.744940639
407_06,Masc_Wom,0.51572327,0.662835249,0.607758621,NA,0.675257732,0.568181818,0.473529412,State Senator,2006,0.328472197
411_12,Masc_Man,0.526515152,0.652920962,0.426724138,0.679487179,0.269230769,NA,0.505747126,State Representative,2012,0.302885711
413_08,Fem_Man,0.490566038,0.584313725,0.363095238,0.581632653,0.272727273,NA,0.5,State Representative,2008,0.453597575
414_06,Fem_Man,0.512345679,0.666666667,0.504901961,0.618181818,0.238317757,NA,0.532327586,State Senator,2006,0.570435166
417_04,Masc_Man,0.445833333,0.623762376,0.295918367,0.476190476,0.34375,NA,0.5,State Representative,2004,0.466211408
417_06,Masc_Man,0.450819672,0.591194969,0.375,0.407894737,0.340136054,NA,0.474226804,State Representative,2006,0.479106098
423_06,Fem_Wom,0.678571429,0.662337662,0.39375,NA,0.8125,0.640625,0.5859375,State Representative,2006,0.325056016
432_08,Fem_Man,0.434108527,0.632398754,0.489361702,0.556818182,0.29969419,NA,0.513736264,State Representative,2008,0.614043951
434_04,Fem_Man,0.348039216,0.579268293,0.412280702,0.455555556,0.307017544,NA,0.422222222,State Senator,2004,0.469851434
44_06,Masc_Man,0.37654321,0.475,0.457446809,0.366666667,0.235087719,NA,0.415929204,State Representative,2006,0.356149167
441_06,Masc_Man,0.414529915,0.508680556,0.421568627,0.254716981,0.244318182,NA,0.42032967,State Representative,2006,0.423335433
444_08,Masc_Man,0.439393939,0.59437751,0.5,0.506097561,0.251984127,NA,0.39673913,State Representative,2008,0.536390305
445_06,Fem_Man,0.563636364,0.624113475,0.473214286,0.461111111,0.26984127,NA,0.5,State Representative,2006,0.491860509
449_12,Masc_Wom,0.2875,0.479919679,0.28125,NA,0.649484536,0.49,0.455555556,State Representative,2012,0.335683465
45_06,Masc_Man,0.362962963,0.638596491,0.416666667,0.659090909,0.210784314,NA,0.495,State Senator,2006,0.671527803
452_06,Fem_Wom,0.639880952,0.670103093,0.31547619,NA,0.850378788,0.698717949,0.547222222,State Representative,2006,0.674943984
452_12,Fem_Wom,0.5625,0.667919799,0.411111111,NA,0.779116466,0.556818182,0.550561798,State Representative,2012,0.724645317
455_06,Masc_Man,0.591836735,0.617845118,0.594594595,0.504807692,0.243986254,NA,0.4765625,State Representative,2006,0.545015633
455_08,Masc_Man,0.55952381,0.62962963,0.609375,0.427884615,0.25566343,NA,0.456730769,State Representative,2008,0.535994947
456_12,Masc_Man,0.392307692,0.563218391,0.485714286,0.567708333,0.279069767,NA,0.49702381,State Senator,2012,0.452488899
458_08,Fem_Man,0.320261438,0.474842767,0.352459016,0.321428571,0.419191919,NA,0.386363636,State Representative,2008,0.33792609
460_12,Masc_Man,0.650406504,0.684818482,0.503968254,0.535714286,0.283828383,NA,0.555555556,State Representative,2012,0.474289387
461_12,Fem_Wom,0.778911565,0.639455782,0.32,NA,0.891089109,0.560483871,0.506849315,State Representative,2012,0.529117465
462_08,Fem_Wom,0.5625,0.709349593,0.466666667,NA,0.789473684,0.682291667,0.58125,State Representative,2008,0.604306757
462_12,Fem_Wom,0.646825397,0.675257732,0.425,NA,0.723529412,0.625,0.581730769,State Representative,2012,0.697114289
463_04,Masc_Wom,0.337121212,0.459915612,0.354545455,NA,0.689768977,0.478571429,0.451923077,State Representative,2004,0.11712347
465_06,Masc_Wom,0.521929825,0.635869565,0.544444444,NA,0.683333333,0.430232558,0.511764706,State Representative,2006,0.441930354
470_08,Fem_Man,0.535714286,0.661172161,0.448529412,0.644067797,0.299352751,NA,0.543981481,State Representative,2008,0.380668521
473_08,Fem_Man,0.257575758,0.410891089,0.176470588,0.439393939,0.337606838,NA,0.34223301,State Representative,2008,0.154447958
479_06,Fem_Wom,0.643410853,0.710227273,0.531914894,NA,0.781446541,0.62745098,0.573863636,State Representative,2006,0.630553484
48_04,Fem_Man,0.454248366,0.590909091,0.375,0.418478261,0.385416667,NA,0.484756098,State Representative,2004,0.519096315
480_04,Fem_Wom,0.65408805,0.745614035,0.440217391,NA,0.821428571,0.607954545,0.572429907,State Representative,2004,0.484651029
480_12,Fem_Wom,0.62202381,0.738372093,0.51,NA,0.821895425,0.664893617,0.556122449,State Senator,2012,0.304840744
481_06,Fem_Wom,0.571969697,0.68556701,0.472222222,NA,0.732142857,0.581395349,0.554347826,State Representative,2006,0.442564875
481_08,Masc_Wom,0.399371069,0.653985507,0.5,NA,0.68875502,0.644230769,0.519662921,State Representative,2008,0.522091568
494_12,Fem_Man,0.356481481,0.5625,0.346153846,0.475609756,0.268436578,NA,0.443069307,State Senator,2012,0.59196949
496_12,Masc_Man,0.333333333,0.483739837,0.655,0.225609756,0.298484848,NA,0.360119048,State Representative,2014,0.292047024
496_12,Masc_Man,0.333333333,0.483739837,0.655,0.225609756,0.298484848,NA,0.360119048,State Representative,2012,0.275306374
497_06,Masc_Wom,0.516025641,0.685185185,0.385869565,NA,0.621863799,0.429347826,0.560526316,State Representative,2006,0.792614937
5_06,Masc_Man,0.467479675,0.699312715,0.604166667,0.553191489,0.282352941,NA,0.516129032,State Senator,2006,0.638188541
502_08,Fem_Man,0.282738095,0.485714286,0.429104478,0.4765625,0.382352941,NA,0.391666667,State Representative,2008,0.323131382
504_06,Masc_Wom,0.449074074,0.61038961,0.375,NA,0.660493827,0.528571429,0.468390805,State Representative,2006,0.300242841
509_12,Masc_Wom,0.460526316,0.602996255,0.494565217,NA,0.768292683,0.521929825,0.475274725,State Representative,2012,0.560337484
512_08,Masc_Man,0.613636364,0.675,0.621794872,0.59375,0.197530864,NA,0.5075,State Representative,2008,0.560455263
513_04,Masc_Wom,0.548245614,0.695,0.511111111,NA,0.734042553,0.596590909,0.472222222,State Representative,2004,0.606828749
513_06,Masc_Wom,0.41025641,0.650793651,0.46,NA,0.69122807,0.530487805,0.489473684,State Representative,2006,0.596824527
513_08,Masc_Wom,0.527131783,0.645833333,0.411111111,NA,0.751054852,0.646341463,0.511682243,State Representative,2008,0.546402454
514_06,Masc_Wom,0.555555556,0.649038462,0.436046512,NA,0.625541126,0.456521739,0.533950617,State Senator,2006,0.517177463
519_04,Masc_Man,0.53968254,0.686084142,0.506410256,0.670212766,0.24025974,NA,0.550561798,State Representative,2004,0.424270004
527_12,Fem_Wom,0.448717949,0.653409091,0.505319149,NA,0.728723404,0.677966102,0.491935484,State Representative,2012,0.444101781
55_08,Fem_Man,0.559322034,0.541666667,0.277173913,0.25,0.40070922,NA,0.424528302,State Representative,2008,0.518014014
57_12,Masc_Man,0.431034483,0.619047619,0.372222222,0.527777778,0.266666667,NA,0.472560976,State Senator,2012,0.60166508
6_04,Fem_Man,0.350282486,0.579710145,0.486842105,0.551020408,0.303921569,NA,0.414772727,State Representative,2004,0.506828547
6_06,Fem_Man,0.31871345,0.559748428,0.347560976,0.430232558,0.404040404,NA,0.377659574,State Representative,2006,0.484170139
